"location","area","unit","bedrooms","bathrooms_w_cs","floor_area","no_of_floors","car_parking_spaces","availability","price","district"
"kottawa",22,"perches","4",3,2600,NA,"None","Available now",35,"Colombo"
"thalapathpitiya",NA,NA,"4",3,2400,2,"None","For Urgent Sale",45,"Colombo"
"nawinna",26,"perches","above 5",4,NA,2,"None","For Urgent Sale",58,"Colombo"
"pannipitiya",15,"perches","5",3,NA,2,"None","For Urgent Sale",55,"Colombo"
"maharagama",10,"perches","5",3,NA,2,"1","For Urgent Sale",50,"Colombo"
"maharagama",11.5,"perches","4",3,NA,2,"None","For Urgent Sale",40,"Colombo"
"pannipitiya",20,"perches","above 5",8,NA,2,"None","For Urgent Sale",32,"Colombo"
"boralesgamuwa",6.45,"perches","4",3,2143,2,"2","For Urgent Sale",42,"Colombo"
"jawatta",16,"perches","3",2,NA,1,"None","For Urgent Sale",148,"Kalutara"
"maharagama",14.5,"perches","3",2,NA,2,"None","For Urgent Sale",40,"Colombo"
"pallawatta",22,"perches","3",3,NA,2,"None","For Urgent Sale",100,"Gampaha"
"raththanapitiya",14.5,"perches","4",2,NA,3,"6","For Urgent Sale",75,"Colombo"
"mount lavinia",15,"perches","4",3,4000,2,"2","Available now",52,"Colombo"
"maharagama",22,"perches","above 5",4,2200,2,"4","Available now",50,"Colombo"
"colombo 5",6,"perches","5",5,5000,4,"3","Available now",130,"Colombo"
"moratuwa",8.2,"perches","4",3,3500,2,"2","Available now",32,"Colombo"
"maharagama",NA,NA,"4",3,2750,NA,"None","Available now",28,"Colombo"
"katubedda",36.5,"perches","5",4,4500,NA,"6","Available now",109,"Colombo"
"habaraduwa",105,"perches","3",NA,NA,NA,"None","Available now",10.95,"Galle"
"negombo",3,"perches","2",2,1700,2,"1","Available now",10.9,"Gampaha"
"piliyandala",NA,NA,"5",NA,NA,NA,"None","Available now",43,"Colombo"
"malabe",126,"perches","5",5,4000,2,"6","Available now",135,"Colombo"
"malabe",6.5,"perches","4",4,2750,2,"2","Available now",27,"Colombo"
"nugegoda",15.5,"perches","4",4,5200,3,"4","Available now",140,"Colombo"
"rajagiriya",9,"perches","above 5",4,3707,3,"2","Available now",69,"Colombo"
"ethul kotte",11.7,"perches","5",3,3012,NA,"4","Available now",67.5,"Colombo"
"dehiwala",12,"perches","above 5",4,3500,2,"3","Available now",65,"Colombo"
"nugegoda",10,"perches","3",2,2000,1,"2","Available now",48,"Colombo"
"kalubowila",14,"perches","above 5",6,4300,2,"2","Available now",65,"Colombo"
"kalubowila",10,"perches","4",4,5000,2,"3","Price Reduced!",60,"Colombo"
"kalubowila",6,"perches","above 5",5,2800,3,"2","Available now",65,"Colombo"
"dehiwala",15.4,"perches","above 5",4,3990,NA,"None","Available now",5,"Colombo"
"rajagiriya",9,"perches","above 5",5,12000,2,"None","Available now",155,"Colombo"
"colombo 1",12.65,"perches","4",3,2000,NA,"2","Available now",225,"Colombo"
"hokandara",10.5,"perches","5",4,NA,NA,"None","Available now",45,"Colombo"
"pelawatte",19,"perches","4",4,11000,3,"4","Available now",128,"Colombo"
"kandy",8.5,"perches","5",2,1850,2,"1","Available now",20,"Kandy"
"colombo 3",26.4,"perches","above 5",10,8000,2,"4","Price Reduced!",500,"Colombo"
"kandy",15,"perches","4",4,4500,3,"3","Available now",79.5,"Kandy"
"dehiwala",8,"perches","3",1,2000,NA,"2","Available now",30,"Colombo"
"medirigiriya",NA,NA,"2",NA,900,NA,"None","Available now",NA,"Polonnaruwa"
"colombo 3",10.29,"perches","4",3,4000,2,"6","Available now",210,"Colombo"
"colombo 6",21,"perches","above 5",13,16000,3,"6","Price Reduced!",210,"Colombo"
"dehiwala",17.22,"perches","above 5",6,4500,2,"4","Available now",62,"Colombo"
"malabe",6.84,"perches","5",3,1781,3,"2","Available now",25,"Colombo"
"wellampitiya",NA,NA,"3",2,1200,NA,"None","Available now",7.9,"Colombo"
"pita kotte",15,"perches","5",5,5500,3,"2","Available now",145,"Colombo"
"malabe",NA,NA,"4",3,2500,2,"2","Available now",23.5,"Colombo"
"galle",8.52,"perches","3",2,2240,2,"2","Available now",45,"Galle"
"athurugiriya",12.85,"perches","4",2,NA,3,"3","Available now",38,"Colombo"
"meegoda",6.5,"perches","4",2,1600,2,"2","Available now",11.5,"Colombo"
"malabe",10,"perches","5",4,4000,NA,"2","Available now",55,"Colombo"
"hokandara",64,"perches","4",3,4000,1,"2","Available now",95,"Colombo"
"malabe",21,"perches","4",3,3000,NA,"None","Available now",37,"Colombo"
"malabe",15,"perches","5",4,4200,3,"2","Available now",45,"Colombo"
"colombo 5",12,"perches","4",3,5500,NA,"2","Available now",120,"Colombo"
"rajagiriya",15,"perches","above 5",8,8000,2,"5","Available now",92,"Colombo"
"colombo 7",20,"perches","4",3,3000,NA,"2","Available now",350,"Colombo"
"moratuwa",11.3,"perches","2",2,1450,1,"2","Available now",23.5,"Colombo"
"mount lavinia",8.25,"perches","4",4,3500,2,"2","Available now",45,"Colombo"
"athurugiriya",10,"perches","3",3,2520,2,"None","Available now",38,"Colombo"
"maharagama",10,"perches","4",NA,3200,NA,"None","Available now",53,"Colombo"
"colombo 6",10,"perches","above 5",11,6000,3,"3","For Urgent Sale",190,"Colombo"
"kottawa",12,"perches","4",2,NA,NA,"None","Available now",33,"Colombo"
"kottawa",9,"perches","4",4,NA,NA,"None","Available now",32.5,"Colombo"
"kadawatha",15.5,"perches","4",2,NA,NA,"None","Available now",32.5,"Gampaha"
"malabe",11,"perches","4",NA,1900,NA,"None","Available now",18.5,"Colombo"
"kottawa",NA,NA,"5",4,NA,NA,"None","Available now",32.5,"Colombo"
"piliyandala",8,"perches","4",4,NA,NA,"None","Available now",31,"Colombo"
"nugegoda",10,"perches","5",5,3800,NA,"None","Available now",36,"Colombo"
