"location","area","unit","bedrooms","bathrooms_w_cs","floor_area","no_of_floors","car_parking_spaces","availability","price","district"
"katunayake",59,"perches","4",3,NA,NA,"None","Available now",23.5,"Gampaha"
"homagama",29,"perches","4",2,NA,NA,"None","Available now",35,"Colombo"
"colombo 5",18.6,"perches","5",5,3000,2,"None","Available now",89.28,"Colombo"
"thalawathugoda",11,"perches","5",5,3500,3,"2","Available now",42,"Colombo"
"moratuwa",25,"perches","4",NA,NA,3,"None","Available now",46,"Colombo"
"battaramulla",NA,NA,"above 5",NA,NA,NA,"None","Available now",4.5,"Colombo"
"wijerama",10,"perches","above 5",4,4700,2,"None","Available now",67,"Colombo"
"piliyandala",NA,NA,"3",NA,NA,NA,"None","Available now",29,"Colombo"
"battaramulla",20,"perches","3",2,2900,1,"3","Available now",55,"Colombo"
"colombo 8",9,"perches","4",3,5000,3,"2","Available now",160,"Colombo"
"battaramulla",14.5,"perches","4",3,3200,2,"2","Available now",85,"Colombo"
"nugegoda",14,"perches","3",3,2800,2,"3","Available now",48,"Colombo"
"nawala",18,"perches","above 5",5,3800,3,"4","Available now",152,"Colombo"
"athurugiriya",10,"perches","3",3,1700,NA,"2","For Urgent Sale",18.5,"Colombo"
"malabe",15,"perches","5",4,5200,3,"2","For Urgent Sale",57.5,"Colombo"
"nugegoda",11.1,"perches","5",4,2800,2,"4","Available now",55,"Colombo"
"dehiwala",10,"perches","above 5",5,NA,2,"3","Available now",56,"Colombo"
"colombo 5",15,"perches","3",2,3000,1,"2","Available now",142.5,"Colombo"
"boralesgamuwa",10.4,"perches","4",4,3300,4,"2","Available now",70,"Colombo"
"thalawathugoda",53,"perches","above 5",6,6500,2,"6","Available now",110,"Colombo"
"thalawathugoda",18,"perches","above 5",6,6500,2,"6","Available now",65,"Colombo"
"ethul kotte",10,"perches","4",3,3500,2,"3","Available now",100,"Colombo"
"pelawatte",NA,NA,"5",3,6000,2,"5","Available now",130,"Colombo"
"battaramulla",15,"perches","3",3,4707,2,"None","Available now",72,"Colombo"
"colombo 5",20,"perches","4",4,4700,NA,"None","Available now",330,"Colombo"
"battaramulla",21,"perches","4",3,3000,2,"None","Available now",75,"Colombo"
"battaramulla",27,"perches","5",4,6000,2,"6","Available now",120,"Colombo"
"battaramulla",15,"perches","3",3,4700,2,"2","Available now",72,"Colombo"
"dehiwala",12,"perches","above 5",6,8400,3,"None","Available now",9,"Colombo"
"thalawathugoda",34,"perches","4",3,3000,2,"6","Available now",105,"Colombo"
"moratuwa",22.8,"perches","4",3,2540,2,"2","Available now",41,"Colombo"
"battaramulla",10.8,"perches","4",3,3250,2,"3","For Urgent Sale",42.5,"Colombo"
"kaduwela",6,"perches","3",NA,NA,NA,"1","Available now",30,"Colombo"
"mirihana",10,"perches","3",2,NA,2,"None","Available now",42,"Colombo"
"colombo 8",7.2,"perches","5",2,NA,2,"2","Available now",80,"Colombo"
"kadawatha",40,"perches","5",3,3000,1,"6","Available now",25,"Gampaha"
"nugegoda",11,"perches","5",4,5000,3,"3","Available now",68,"Colombo"
"nugegoda",12,"perches","5",5,4800,3,"4","Available now",65,"Colombo"
"pamunuwa",6,"perches","3",2,1565,2,"2","Available now",19.5,"Colombo"
"rajagiriya",6,"perches","5",3,3200,3,"2","Available now",48,"Colombo"
"kadawatha",10,"perches","3",3,2800,2,"2","Available now",26.5,"Gampaha"
"kadawatha",10,"perches","4",2,2600,2,"2","Available now",30,"Gampaha"
"moratuwa",8,"perches","4",4,2600,2,"3","Available now",25,"Colombo"
"dehiwala",NA,NA,"3",3,NA,3,"None","Available now",62,"Colombo"
"nugegoda",NA,NA,"4",2,NA,NA,"None","Available now",42,"Colombo"
"maharagama",6,"perches","above 5",2,1565,2,"None","Available now",21,"Colombo"
"maharagama",8,"perches","4",4,NA,3,"None","Available now",21,"Colombo"
"piliyandala",11.9,"perches","4",2,2500,2,"None","Available now",20,"Colombo"
"battaramulla",21,"perches","4",4,3800,2,"None","Available now",60,"Colombo"
"boralesgamuwa",10,"perches","3",2,1200,1,"2","Available now",23,"Colombo"
"kottawa",10,"perches","4",3,3000,2,"2","Available now",32,"Colombo"
"malabe",9,"perches","5",3,3100,2,"2","Available now",37.5,"Colombo"
"wattala",19.9,"perches","above 5",3,4000,2,"3","Available now",35,"Gampaha"
"malabe",10,"perches","4",3,3200,2,"2","Available now",45,"Colombo"
"malabe",62,"perches","5",5,5600,2,"None","Available now",160,"Colombo"
"kalmunai",NA,NA,"3",2,1200,NA,"None","Available now",14.5,"Ampara"
"dehiwala",NA,NA,"4",2,1600,NA,"None","Available now",19.5,"Colombo"
"kalmunai",NA,NA,"3",2,1200,NA,"None","Available now",12.5,"Ampara"
"colombo 7",NA,NA,"above 5",NA,NA,NA,"None","Available now",496.4,"Colombo"
"kolonnawa",NA,NA,"3",2,1200,NA,"None","Available now",13,"Colombo"
"homagama",10,"perches","4",3,3600,3,"3","Price Reduced!",24.5,"Colombo"
"malabe",6.5,"perches","4",4,2450,3,"2","Available now",26.8,"Colombo"
"negombo",10,"perches","4",3,2400,2,"2","Available now",22.5,"Gampaha"
"bandaragama",18,"perches","3",2,2300,NA,"None","Available now",NA,"Kalutara"
"thalawathugoda",10,"perches","4",4,4200,2,"None","Available now",49.5,"Colombo"
"nugegoda",21.5,"perches","4",3,NA,NA,"None","Available now",110,"Colombo"
"battaramulla",NA,NA,"4",4,5000,NA,"None","Available now",200,"Colombo"
"nugegoda",NA,NA,"above 5",5,5000,NA,"3","Available now",40,"Colombo"
"battaramulla",5,"perches","4",3,2500,NA,"None","Available now",30,"Colombo"
"malabe",6,"perches","above 5",4,1800,NA,"None","Available now",28,"Colombo"
"thalawathugoda",8.8,"perches","4",2,2500,2,"None","Available now",34,"Colombo"
"athurugiriya",7,"perches","3",2,NA,NA,"None","Available now",15,"Colombo"
"dehiwala",6,"perches","above 5",4,NA,NA,"None","Available now",27.5,"Colombo"
"pepiliyana",12.5,"perches","3",3,7000,NA,"6","Available now",50,"Colombo"
"madiwela",8.18,"perches","above 5",4,NA,NA,"None","Available now",28,"Colombo"
"rajagiriya",12,"perches","above 5",4,NA,NA,"None","Available now",38,"Colombo"
"rajagiriya",12,"perches","4",2,NA,NA,"None","Available now",36,"Colombo"
"thalawathugoda",10.2,"perches","3",2,NA,2,"None","Available now",31,"Colombo"
"nugegoda",4.5,"perches","3",2,1500,NA,"None","Available now",20,"Colombo"
"battaramulla",18,"perches","4",7,NA,NA,"None","Available now",45,"Colombo"
"navinna",20,"perches","4",2,2500,NA,"None","Available now",30,"Colombo"
"pelawatte",10,"perches","5",5,NA,3,"2","Available now",40,"Colombo"
"malabe",10,"perches","3",3,2100,2,"2","Available now",25.5,"Colombo"
"malabe",12,"perches","4",3,2800,2,"4","Available now",25,"Colombo"
"malabe",12.1,"perches","above 5",5,4800,3,"4","Available now",65,"Colombo"
"nugegoda",10,"perches","5",4,3000,2,"4","Available now",36,"Colombo"
"nugegoda",15,"perches","4",3,1789,NA,"None","Available now",NA,"Colombo"
"pelawatte",10,"perches","4",4,3200,2,"2","Available now",58.5,"Colombo"
"athurugiriya",6.66,"perches","3",2,1750,2,"2","Available now",16,"Colombo"
"kerawalapitiya",7.14,"perches","3",2,2400,2,"3","Available now",20,"Gampaha"
"pita kotte",30,"perches","5",5,9000,4,"6","Available now",250,"Colombo"
"rajagiriya",20,"perches","3",3,NA,2,"None","Available now",110,"Colombo"
"colombo 5",7.5,"perches","4",3,4000,2,"3","Available now",99,"Colombo"
"colombo 5",8.5,"perches","5",5,4600,3,"3","Price Reduced!",170,"Colombo"
"colombo 5",7.4,"perches","4",3,3800,3,"3","Available now",100,"Colombo"
"colombo 5",18.6,"perches","4",2,3000,1,"2","Available now",85,"Colombo"
"colombo 5",12.5,"perches","4",3,5000,3,"3","Available now",110,"Colombo"
"colombo 5",20,"perches","3",2,4500,2,"3","Available now",200,"Colombo"
"colombo 5",17,"perches","4",4,3800,2,"3","Available now",90,"Colombo"
"colombo 5",NA,NA,"3",3,1700,9,"1","Available now",47,"Colombo"
"mount lavinia",6,"perches","3",3,NA,2,"2","Available soon",43.2,"Colombo"
"boralesgamuwa",10.4,"perches","above 5",5,5367,3,"2","Available now",65,"Colombo"
"nugegoda",20,"perches","5",3,3200,2,"6","Available now",75,"Colombo"
"pepiliyana",NA,NA,"4",NA,NA,NA,"None","Available now",42.5,"Colombo"
"piliyandala",10,"perches","3",NA,NA,1,"None","Available now",14.5,"Colombo"
"piliyandala",10.5,"perches","3",NA,NA,NA,"None","Available now",16,"Colombo"
"kahatuduwa",NA,NA,"4",NA,NA,NA,"None","Available now",45,"Colombo"
"boralesgamuwa",NA,NA,"4",NA,NA,NA,"None","Available soon",26.5,"Colombo"
"boralesgamuwa",NA,NA,"4",NA,NA,NA,"None","Available soon",32,"Colombo"
"thalawathugoda",52.5,"perches","4",3,3000,2,"6","Available now",NA,"Colombo"
"kaduwela",29,"perches","above 5",3,4500,NA,"2","Price Reduced!",30,"Colombo"
"nugegoda",6,"perches","3",2,1500,NA,"1","Available now",33,"Colombo"
"pannipitiya",8,"perches","5",4,2700,2,"4","Available now",38,"Colombo"
"kadawatha",6,"perches","4",2,2050,2,"2","Available now",13,"Gampaha"
"minuwangoda",59,"perches","4",4,3460,2,"6","Available now",23.5,"Gampaha"
"colombo 5",7.8,"perches","4",3,NA,2,"3","Available now",100,"Colombo"
"malabe",12,"perches","5",4,3900,3,"3","Available now",33,"Colombo"
"boralesgamuwa",6,"perches","4",3,3000,NA,"None","Available now",27.5,"Colombo"
"malabe",10.65,"perches","4",3,2310,NA,"None","Available now",24,"Colombo"
"rathmalana",2.5,"perches","3",2,1000,2,"1","Available now",13.5,"Colombo"
"mount lavinia",4.9,"perches","4",2,2400,NA,"None","Available now",35,"Colombo"
"hokandara",7,"perches","3",2,1271,NA,"None","Available now",26.5,"Colombo"
"kolonnawa",NA,NA,"3",NA,NA,NA,"None","Available now",30,"Colombo"
"rathmalana",7.5,"perches","3",NA,NA,NA,"None","Available now",11,"Colombo"
"dehiwala",NA,NA,"3",2,1350,NA,"None","Available now",19,"Colombo"
"moratuwa",18,"perches","4",4,NA,NA,"None","Available now",NA,"Colombo"
"piliyandala",7,"perches","5",3,2440,NA,"None","Available now",25,"Colombo"
"dehiwala",NA,NA,"above 5",5,NA,NA,"None","Available now",27.5,"Colombo"
"boralesgamuwa",6.6,"perches","4",4,2500,NA,"None","Available now",21,"Colombo"
"colombo 5",NA,NA,"4",3,1690,NA,"None","Available now",75,"Colombo"
"malabe",10.12,"perches","4",3,2675,2,"2","Available now",49.5,"Colombo"
"maharagama",10.93,"perches","3",2,2400,2,"2","Available now",25,"Colombo"
"aniwatte",19.5,"perches","3",2,1200,NA,"None","Available now",32,"Kandy"
"katunayake",13,"perches","3",3,NA,1,"None","Available now",7.8,"Gampaha"
"colombo 8",15.5,"perches","5",3,4500,2,"4","Available now",160,"Colombo"
"kirindiwela",27,"perches","3",NA,1800,NA,"None","Available now",7.5,"Gampaha"
"nittambuwa",16,"perches","4",2,2200,NA,"None","Available now",8.5,"Gampaha"
"gampaha",14.5,"perches","4",4,1550,NA,"None","Available now",9.85,"Gampaha"
"wattala",10,"perches","3",1,1945,NA,"None","Available now",11,"Gampaha"
"gampaha",15,"perches","4",3,5275,NA,"None","Available now",27.5,"Gampaha"
"maharagama",9,"perches","5",4,3000,NA,"3","Available now",53,"Colombo"
"kottawa",8,"perches","4",3,4000,2,"3","Available now",29.5,"Colombo"
"battaramulla",NA,NA,"above 5",6,1400,3,"6","Available now",170,"Colombo"
"kottawa",10.8,"perches","4",3,NA,2,"2","Available now",32,"Colombo"
"thalawathugoda",7.7,"perches","4",4,3300,2,"2","Available now",44,"Colombo"
"nugegoda",20,"perches","4",3,4120,2,"2","Available now",170,"Colombo"
"wikramasinghapura battaramulla",20.5,"perches","4",3,NA,2,"2","Available now",55,"Colombo"
"nugegoda",7.1,"perches","4",4,3000,3,"2","Available now",65,"Colombo"
"pannipitiya",8,"perches","4",3,2700,2,"None","Available now",25.5,"Colombo"
"nawala",18,"perches","above 5",4,3800,2,"4","Available now",152,"Colombo"
"maharagama",9,"perches","5",4,3000,NA,"None","Available now",53,"Colombo"
"mount lavinia",13,"perches","5",3,4230,2,"4","Available now",37.5,"Colombo"
"thalawathugoda",15,"perches","4",3,3400,2,"3","Available now",37,"Colombo"
"athurugiriya",8.4,"perches","3",2,NA,2,"None","Available now",23,"Colombo"
"battaramulla",16,"perches","3",2,NA,NA,"None","Available now",22.4,"Colombo"
"nugegoda",5.9,"perches","4",2,2354,3,"None","Available now",41,"Colombo"
"pannipitiya",8,"perches","4",3,NA,2,"None","Available now",21,"Colombo"
"colombo 3",12,"perches","above 5",5,NA,NA,"None","Available now",195,"Colombo"
"maharagama",7,"perches","4",4,2900,2,"None","Available now",40,"Colombo"
"thalawathugoda",15,"perches","4",4,4000,2,"6","Available now",52.5,"Colombo"
"colombo 8",7.55,"perches","above 5",4,3500,3,"1","Available now",70,"Colombo"
"battaramulla",16,"perches","5",6,3000,NA,"4","Available now",85,"Colombo"
"nawala",20,"perches","4",5,6000,2,"4","Available now",148,"Colombo"
"kottawa",10.9,"perches","4",3,3200,3,"2","Available now",31.5,"Colombo"
"malabe",7,"perches","4",3,2000,2,"2","Available now",22.5,"Colombo"
"athurugiriya",NA,NA,"3",3,1800,2,"2","Available now",16.8,"Colombo"
"malabe",12,"perches","4",3,3333,2,"4","Available now",28,"Colombo"
"boralesgamuwa",15.5,"perches","3",3,3800,NA,"None","Available now",42,"Colombo"
"athurugiriya",12.85,"perches","4",2,NA,NA,"3","Available now",38,"Colombo"
"nugegoda",15.5,"perches","4",4,5200,3,"3","Available now",155,"Colombo"
"kandy",NA,NA,"2",1,1400,1,"None","Available now",16,"Kandy"
"kandy",11,"perches","3",2,1400,1,"1","Available now",13.5,"Kandy"
"thalawathugoda",50.2,"perches","4",3,3000,2,"6","Available now",105,"Colombo"
"colombo 5",8.5,"perches","5",5,4600,4,"3","Available now",170,"Colombo"
"kahanthota",NA,NA,"3",4,NA,NA,"2","Available now",32,"Colombo"
"kandy",30,"perches","4",2,1400,2,"1","Available now",15,"Kandy"
"dehiwala",6.5,"perches","above 5",5,NA,3,"2","Available now",55,"Colombo"
"dehiwala",7.4,"perches","4",3,NA,NA,"2","Available now",55,"Colombo"
"pelawatte",30,"perches","above 5",7,9000,NA,"6","Available now",295,"Colombo"
"colombo 8",7,"perches","5",3,3800,3,"2","Available now",80,"Colombo"
"akuregoda",10,"perches","5",4,3500,3,"2","Available now",42.5,"Colombo"
"thalawathugoda",30,"perches","5",5,10000,3,"3","Available now",220,"Colombo"
"battaramulla",27,"perches","4",4,4500,NA,"4","Available now",125,"Colombo"
"battaramulla",16,"perches","5",5,3000,NA,"3","Available now",85,"Colombo"
"thalahena",10,"perches","5",5,NA,3,"2","Available now",56,"Colombo"
"battaramulla",12.6,"perches","5",4,4500,3,"3","Available soon",70,"Colombo"
"pannipitiya",NA,NA,"4",2,2400,NA,"None","Available now",22.5,"Colombo"
"mattegoda",10,"perches","5",2,3000,NA,"None","Available now",23,"Colombo"
"athurugiriya",10,"perches","3",3,2520,NA,"None","Available now",38,"Colombo"
"mattegoda",1875,"perches","4",3,1875,NA,"None","Available now",35,"Colombo"
"thalawathugoda",19,"perches","3",3,3800,NA,"None","Available now",55,"Colombo"
"moratuwa",6,"perches","5",2,2800,NA,"None","Available now",20,"Colombo"
"battaramulla",14.5,"perches","4",3,3200,NA,"None","Available now",85,"Colombo"
"pelawatte",30,"perches","above 5",7,9000,2,"6","Available now",290,"Colombo"
"colombo 7",NA,NA,"4",3,2000,2,"None","Available now",225,"Colombo"
"battaramulla",9,"perches","4",3,2200,2,"2","Available now",31,"Colombo"
"nugegoda",6,"perches","3",2,1500,2,"1","Available now",33,"Colombo"
"thalangama",27.5,"perches","4",2,NA,NA,"1","Available now",68.25,"Colombo"
"pelawatte",27,"perches","5",3,6000,2,"None","Available now",120,"Colombo"
"moratuwa",NA,NA,"3",1,NA,NA,"2","Available now",13.5,"Colombo"
"battaramulla",22.5,"perches","above 5",5,NA,2,"2","Available now",120,"Colombo"
"ethul kotte",11.7,"perches","5",4,3050,2,"2","Available now",66,"Colombo"
"kandy",30,"perches","2",1,1300,NA,"None","Available now",14,"Kandy"
"dehiwala",12.5,"perches","3",3,7000,NA,"6","Available now",60,"Colombo"
"malabe",20,"perches","above 5",6,NA,NA,"2","Available now",65,"Colombo"
"maharagama",10,"perches","3",2,2500,2,"3","Available now",35,"Colombo"
"bellanwila",19.72,"perches","4",2,3000,NA,"2","Available now",65,"Colombo"
"mount lavinia",16.38,"perches","4",4,NA,2,"2","Available now",70,"Colombo"
"mount lavinia",16,"perches","4",NA,3640,NA,"None","Available now",62,"Colombo"
"boralesgamuwa",10,"perches","4",2,2400,2,"2","Available now",35,"Colombo"
"boralesgamuwa",10,"perches","4",3,NA,2,"None","Available now",28,"Colombo"
"athurugiriya",10,"perches","3",3,3800,3,"3","Available now",25,"Colombo"
"pelawatte",18,"perches","4",7,NA,NA,"2","Available now",55,"Colombo"
"battaramulla",50,"perches","5",3,4500,2,"None","Available now",250,"Colombo"
"mount lavinia",10.75,"perches","4",3,NA,NA,"2","Available now",39,"Colombo"
"colombo 6",9.8,"perches","3",4,4000,NA,"None","Available now",68.6,"Colombo"
"boralesgamuwa",NA,NA,"5",NA,NA,NA,"None","Available now",NA,"Colombo"
"nugegoda",17,"perches","4",NA,2900,NA,"None","Available now",NA,"Colombo"
"kandy",20,"perches","4",3,NA,2,"3","For Urgent Sale",NA,"Kandy"
"rajagiriya",6,"perches","3",3,NA,NA,"2","Available now",30,"Colombo"
"kottawa",8,"perches","4",3,2900,2,"2","Available now",33,"Colombo"
"pelawatte",NA,NA,"4",4,6000,NA,"4","Available now",NA,"Colombo"
"galle",15,"perches","4",2,4500,3,"3","For Urgent Sale",38,"Galle"
"galle",140,"perches","4",1,900,1,"2","For Urgent Sale",7,"Galle"
"galle",13.5,"perches","4",3,2800,2,"3","For Urgent Sale",29,"Galle"
"galle",112,"perches","3",1,2800,1,"6","For Urgent Sale",55.6,"Galle"
"boralesgamuwa",4.5,"perches","4",2,2200,2,"2","For Urgent Sale",24,"Colombo"
"hikkaduwa",NA,NA,"4",2,980,2,"1","For Urgent Sale",9.5,"Galle"
"polonnaruwa",1.5,"acres","above 5",3,4000,2,"6","For Urgent Sale",11,"Polonnaruwa"
"unawatuna",78,"perches","above 5",2,3000,1,"6","For Urgent Sale",50,"Galle"
"hikkaduwa",15,"perches","4",2,2500,2,"2","For Urgent Sale",14,"Galle"
"galle",10,"perches","2",1,980,1,"2","For Urgent Sale",6.5,"Galle"
"piliyandala",35,"perches","4",1,2500,1,"6","Available now",42,"Colombo"
"colombo 6",4.2,"perches","5",4,1100,2,"1","For Urgent Sale",34,"Colombo"
"battaramulla",43,"perches","5",3,4012,NA,"None","Available now",120,"Colombo"
"nugegoda",25,"perches","above 5",9,10000,NA,"None","Available now",230,"Colombo"
"battaramulla",13,"perches","4",3,3500,NA,"None","Available now",78,"Colombo"
"ja ela",10,"perches","5",3,3350,NA,"None","Available now",30,"Gampaha"
"thalawathugoda",7,"perches","3",2,3300,NA,"None","Available now",40,"Colombo"
"ja ela",10,"perches","5",3,3350,NA,"None","Available now",30,"Gampaha"
"pannipitiya",8.3,"perches","3",2,1700,NA,"None","Available now",18.5,"Colombo"
"pepiliyana",27,"perches","above 5",5,7100,NA,"None","Available now",170,"Colombo"
"udahamulla",9,"perches","above 5",4,2300,NA,"None","Available now",40,"Colombo"
"dehiwala",9.4,"perches","3",2,2500,NA,"None","Available now",65,"Colombo"
"dehiwala",30,"perches","4",3,3500,NA,"None","Available now",125,"Colombo"
"battaramulla",21,"perches","4",4,3800,NA,"None","Available now",65,"Colombo"
"koswatta",9.2,"perches","3",2,2000,NA,"None","Available now",60,"Colombo"
"malabe",8,"perches","3",2,2200,NA,"3","Available now",28,"Colombo"
"colombo 6",14.6,"perches","above 5",6,7000,2,"2","Available now",200,"Colombo"
"mount lavinia",8.5,"perches","3",2,2500,NA,"1","Available now",36,"Colombo"
"pannipitiya",17.5,"perches","5",7,2500,NA,"None","Available now",70,"Colombo"
"pannipitiya",9.8,"perches","3",1,1635,NA,"None","Available now",22,"Colombo"
"rathmalana",7,"perches","4",2,2000,NA,"None","Available now",22.5,"Colombo"
"dehiwala",16.5,"perches","above 5",NA,5000,NA,"None","Available now",90,"Colombo"
"dehiwala",33.7,"perches","5",3,NA,2,"2","Available now",102,"Colombo"
"mattegoda",15,"perches","above 5",3,4000,NA,"None","Available now",37,"Colombo"
"malabe",10,"perches","3",2,1397,NA,"None","Available now",22.5,"Colombo"
"nawala",30,"perches","above 5",4,4000,NA,"6","Available now",105,"Colombo"
"ethul kotte",20.66,"perches","4",4,6000,NA,"None","Available now",180,"Colombo"
"hokandara",7,"perches","3",2,1271,NA,"None","Available now",26.5,"Colombo"
"ethul kotte",10,"perches","5",3,3000,NA,"None","Available now",60,"Colombo"
"kottawa",11.5,"perches","3",2,1700,NA,"2","Available now",14,"Colombo"
"bandaragama",29.9,"perches","5",5,8000,NA,"5","Available now",150,"Kalutara"
"colombo 5",20,"perches","5",5,6750,NA,"4","Available now",187,"Colombo"
